Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2024-12-10 15:32:48.52,US3765361080,GOOD,"Gladstone Commercial",,EOF24802997870,3.0145250000,16.860000,USD,1.27253108,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.546,US3546131018,BEN,"Franklin Resources",,EOF24802997878,2.2904410000,22.190000,USD,1.27253094,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.559,US0378331005,AAPL,"Apple",,EOF24802997882,0.2059188000,246.820000,USD,1.27253075,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.559,CA1363851017,CNQ,"Canadian Natural Resources",,EOF24802997886,1.5638430000,32.500000,USD,1.27253123,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.595,US8718291078,SYY,"Sysco",,EOF24802997890,0.6319140000,80.430000,USD,1.27252987,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.619,US7766961061,ROP,"Roper Technologies",,EOF24802997894,0.0928868000,547.170000,USD,1.27253055,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.64,US1667641005,CVX,"Chevron",,EOF24802997898,0.3204192000,158.620000,USD,1.27253113,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.683,US1912161007,KO,"Coca-Cola",,EOF24802997902,0.8165950000,62.240000,USD,1.27253061,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.698,US5949181045,MSFT,"Microsoft",,EOF24802997906,0.1133598000,448.350000,USD,1.27253045,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.74,CA7800871021,RY,"Royal Bank of Canada",,EOF24802997910,0.4026053000,126.240000,USD,1.27253112,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:48.858,CA0636711016,BMO,"Bank of Montreal",,EOF24802997914,0.5050168000,100.640000,USD,1.27253106,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:49.105,CA8911605092,TD,"Toronto-Dominion Bank",,EOF24802997918,0.9591410000,52.990000,USD,1.27253083,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:49.276,IE00BLS09M33,PNR,"Pentair",,EOF24802997924,0.4684754000,108.490000,USD,1.27253120,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:49.996,US02209S1033,MO,"Altria",,EOF24802997930,0.9088850000,55.920000,USD,1.27253002,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:50.145,CA0641491075,BNS,"Bank of Nova Scotia",,EOF24802997934,0.9146100000,55.570000,USD,1.27253073,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:50.412,US8243481061,SHW,"Sherwin-Williams",,EOF24802997938,0.1362488000,373.030000,USD,1.27253104,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:50.449,AN8068571086,SLB,"Schlumberger",,EOF24802997942,1.2396310000,41.000000,USD,1.27253057,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:50.617,US6703461052,NUE,"Nucor",,EOF24802997946,0.3616143000,140.550000,USD,1.27253104,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:51.298,US8552441094,SBUX,"Starbucks",,EOF24802997950,0.5170910000,98.290000,USD,1.27253065,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:51.438,US46625H1005,JPM,"JPMorgan Chase & Co",,EOF24802997956,0.2089581000,243.230000,USD,1.27253076,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:51.609,US0010551028,AFL,"Aflac",,EOF24802997960,0.4891713000,103.900000,USD,1.27253124,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:51.779,US00123Q1040,AGNC,"AGNC Investment",,EOF24802997964,5.2450800000,9.690000,USD,1.27252942,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:52.866,US7427181091,PG,"Procter & Gamble",,EOF24802997970,0.2963032000,171.530000,USD,1.27253099,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:53.019,US4592001014,IBM,"IBM",,EOF24802997974,0.2181513000,232.980000,USD,1.27253104,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:53.057,US4781601046,JNJ,"Johnson & Johnson",,EOF24802997978,0.3414275000,148.860000,USD,1.27253123,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:53.579,US4943681035,KMB,"Kimberly-Clark",,EOF24802997984,0.3823205000,132.940000,USD,1.27255100,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:53.879,CH0044328745,CB,"Chubb",,EOF24802997988,0.1854952000,274.000000,USD,1.27255094,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:54.865,US5801351017,MCD,"McDonald's",,EOF24802997992,0.1712021000,296.880000,USD,1.27257084,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:54.95,US0084921008,ADC,"Agree Realty",,EOF24802997996,0.6823260000,74.490000,USD,1.27257044,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:55.456,US14149Y1082,CAH,"Cardinal Health",,EOF24802998000,0.4241550000,119.830000,USD,1.27257119,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:56.152,US4523081093,ITW,"Illinois Tool Works",,EOF24802998006,0.1864386000,272.620000,USD,1.27258115,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:56.223,US0530151036,ADP,"Automatic Data Processing",,EOF24802998010,0.1697228000,299.470000,USD,1.27258104,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:56.814,US56035L1044,MAIN,"Main Street Capital",,EOF24802998014,0.9242930000,54.990000,USD,1.27258067,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:57.468,US7561091049,O,"Realty Income",,EOF24802998020,0.9061660000,56.090000,USD,1.27258014,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:32:57.479,US17275R1023,CSCO,"Cisco Systems",,EOF24802998024,0.8710690000,58.350000,USD,1.27258077,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:01.183,US0394831020,ADM,"Archer-Daniels-Midland",,EOF24802998035,0.9857730000,51.560000,USD,1.27257025,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:01.437,US57636Q1040,MA,"Mastercard",,EOF24802998041,0.0965732000,526.300000,USD,1.27257073,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:01.528,US3695501086,GD,"General Dynamics",,EOF24802998045,0.1879330000,270.450000,USD,1.27257085,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:02.202,US2910111044,EMR,"Emerson Electric",,EOF24802998049,0.3925735000,129.470000,USD,1.27257113,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:02.353,US74144T1088,TROW,"T Rowe Price",,EOF24802998053,0.4133580000,122.960000,USD,1.27257134,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:02.491,US6935061076,PPG,"PPG Industries",,EOF24802998057,0.4092640000,124.190000,USD,1.27257126,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:02.716,US74348T1025,PSEC,"Prospect Capital",,EOF24802998061,11.6042200000,4.380000,USD,1.27257094,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:18.446,US5486611073,LOW,"Lowe's",,EOF24802998176,0.1869371000,271.970000,USD,1.27294148,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:30.104,US2788651006,ECL,"Ecolab",,EOF24802998250,0.2054703000,247.460000,USD,1.27305158,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:33:44.624,US5021751020,LTC,"LTC Properties",,EOF24802998331,1.3501140000,37.660000,USD,1.27304189,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:34:04.229,US85254J1025,STAG,"STAG Industrial",,EOF24802998481,1.4015790000,36.280000,USD,1.27314186,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:34:17.506,US09290D1019,BLK,"BlackRock",,EOF24802998546,0.0481919800,1055.190000,USD,1.27320218,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Market buy,2024-12-10 15:35:10.296,US3848021040,GWW,"WW Grainger",,EOF24802998713,0.0439166900,1157.940000,USD,1.27323214,,"GBP",40.00,"GBP",,,,,,,0.06,"GBP"
Deposit,2024-12-11 08:12:30,,,,"Transaction ID: T9S5XD2JL2QQCWX3",e81bc589-0eb0-42fa-8c8c-c65fcf32e562,,,,,,,50.00,"GBP",,,50.35,"GBP",-0.35,"GBP",,
Market buy,2024-12-11 14:36:11.245,US46625H1005,JPM,"JPMorgan Chase & Co",,EOF24851481855,0.0082219000,243.350000,USD,1.27439450,,"GBP",1.57,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.306,US0010551028,AFL,"Aflac",,EOF24851481871,0.0175198000,104.750000,USD,1.27444378,,"GBP",1.44,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.318,CA1363851017,CNQ,"Canadian Natural Resources",,EOF24851481874,0.0717630000,32.320000,USD,1.27438470,,"GBP",1.82,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.345,CA0636711016,BMO,"Bank of Montreal",,EOF24851481880,0.0188706000,101.300000,USD,1.27439452,,"GBP",1.50,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.345,CA7800871021,RY,"Royal Bank of Canada",,EOF24851481883,0.0170409000,126.390000,USD,1.27443748,,"GBP",1.69,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.398,US9311421039,WMT,"Walmart",,EOF24851481886,0.0239630000,95.200000,USD,1.27445675,,"GBP",1.79,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.425,US0378331005,AAPL,"Apple",,EOF24851481892,0.0074726000,249.000000,USD,1.27443657,,"GBP",1.46,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.479,US5949181045,MSFT,"Microsoft",,EOF24851481901,0.0056016000,445.940000,USD,1.27447831,,"GBP",1.96,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.876,US7561091049,O,"Realty Income",,EOF24851481942,0.0333390000,55.810000,USD,1.27441752,,"GBP",1.46,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:11.919,US02209S1033,MO,"Altria",,EOF24851481948,0.0426880000,55.830000,USD,1.27447649,,"GBP",1.87,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:12.096,US1667641005,CVX,"Chevron",,EOF24851481984,0.0156638000,156.220000,USD,1.27447856,,"GBP",1.92,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:13.131,US2910111044,EMR,"Emerson Electric",,EOF24851482064,0.0161520000,130.980000,USD,1.27445118,,"GBP",1.66,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:14.726,US8552441094,SBUX,"Starbucks",,EOF24851482318,0.0207320000,98.360000,USD,1.27449970,,"GBP",1.60,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:14.892,US00123Q1040,AGNC,"AGNC Investment",,EOF24851482347,0.2115300000,9.640000,USD,1.27446825,,"GBP",1.60,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:15.543,US3695501086,GD,"General Dynamics",,EOF24851482398,0.0087565000,269.260000,USD,1.27447307,,"GBP",1.85,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:15.847,US8718291078,SYY,"Sysco",,EOF24851482439,0.0248750000,80.950000,USD,1.27445015,,"GBP",1.58,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:18.334,US4943681035,KMB,"Kimberly-Clark",,EOF24851482792,0.0145699000,133.830000,USD,1.27443772,,"GBP",1.53,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:19.086,IE00BLS09M33,PNR,"Pentair",,EOF24851482911,0.0211942000,109.440000,USD,1.27444683,,"GBP",1.82,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:20.48,US74144T1088,TROW,"T Rowe Price",,EOF24851483143,0.0159444000,123.090000,USD,1.27441311,,"GBP",1.54,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:21.194,US74348T1025,PSEC,"Prospect Capital",,EOF24851483237,0.4219300000,4.440000,USD,1.27440081,,"GBP",1.47,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:21.375,US4592001014,IBM,"IBM",,EOF24851483274,0.0090770000,231.660000,USD,1.27441080,,"GBP",1.65,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:22.094,US85254J1025,STAG,"STAG Industrial",,EOF24851483346,0.0599170000,36.160000,USD,1.27446983,,"GBP",1.70,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:27.668,US5486611073,LOW,"Lowe's",,EOF24851483949,0.0080396000,272.660000,USD,1.27446356,,"GBP",1.72,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:36.191,CH0044328745,CB,"Chubb",,EOF24851484543,0.0071906000,276.510000,USD,1.27453385,,"GBP",1.56,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:38.248,US14149Y1082,CAH,"Cardinal Health",,EOF24851484735,0.0166923000,120.630000,USD,1.27442541,,"GBP",1.58,"GBP",,,,,,,,
Market buy,2024-12-11 14:36:40.083,US8243481061,SHW,"Sherwin-Williams",,EOF24851484882,0.0055958000,373.470000,USD,1.27430696,,"GBP",1.64,"GBP",,,,,,,,
Market buy,2024-12-11 14:37:51.247,US2788651006,ECL,"Ecolab",,EOF24851486910,0.0078672000,247.760000,USD,1.27397220,,"GBP",1.53,"GBP",,,,,,,,
Market buy,2024-12-11 14:38:03.398,US0084921008,ADC,"Agree Realty",,EOF24851487072,0.0285730000,74.460000,USD,1.27397938,,"GBP",1.67,"GBP",,,,,,,,
Market buy,2024-12-11 14:39:27.272,US3848021040,GWW,"WW Grainger",,EOF24851488574,0.0017019600,1167.530000,USD,1.27377523,,"GBP",1.56,"GBP",,,,,,,,
Dividend (Dividend),2024-12-12 13:37:48,US03852U1060,ARMK,"Aramark",,,1.5663460000,0.089250,USD,Not available,,,0.11,"GBP",0.02,USD,,,,,,
Market buy,2024-12-12 14:35:00.842,US17275R1023,CSCO,"Cisco Systems",,EOF24900642009,0.0446270000,59.130000,USD,1.26865120,,"GBP",2.08,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.048,US7134481081,PEP,"PepsiCo",,EOF24900642033,0.0209221000,158.870000,USD,1.26866184,,"GBP",2.62,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.059,US4943681035,KMB,"Kimberly-Clark",,EOF24900642036,0.0139330000,131.120000,USD,1.26867705,,"GBP",1.44,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.126,CA8911605092,TD,"Toronto-Dominion Bank",,EOF24900642043,0.0376690000,53.550000,USD,1.26866349,,"GBP",1.59,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.149,US5801351017,MCD,"McDonald's",,EOF24900642049,0.0093935000,297.130000,USD,1.26867757,,"GBP",2.20,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.294,US56035L1044,MAIN,"Main Street Capital",,EOF24900642075,0.0489450000,55.210000,USD,1.26866359,,"GBP",2.13,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.411,US02209S1033,MO,"Altria",,EOF24900642094,0.0323450000,54.910000,USD,1.26861710,,"GBP",1.40,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.411,CA0641491075,BNS,"Bank of Nova Scotia",,EOF24900642091,0.0470960000,55.490000,USD,1.26861992,,"GBP",2.06,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.48,US1912161007,KO,"Coca-Cola",,EOF24900642105,0.0366350000,63.370000,USD,1.26861199,,"GBP",1.83,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.601,US3546131018,BEN,"Franklin Resources",,EOF24900642145,0.0856640000,22.510000,USD,1.26861621,,"GBP",1.52,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.813,US57636Q1040,MA,"Mastercard",,EOF24900642154,0.0038702000,534.300000,USD,1.26861831,,"GBP",1.63,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:01.813,US7561091049,O,"Realty Income",,EOF24900642157,0.0324580000,55.110000,USD,1.26862438,,"GBP",1.41,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:02.276,US14149Y1082,CAH,"Cardinal Health",,EOF24900642186,0.0154303000,118.390000,USD,1.26860640,,"GBP",1.44,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:03.662,US5021751020,LTC,"LTC Properties",,EOF24900642234,0.0970130000,37.400000,USD,1.26863153,,"GBP",2.86,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:04.852,US3695501086,GD,"General Dynamics",,EOF24900642321,0.0079027000,260.050000,USD,1.26857847,,"GBP",1.62,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:05.307,US7427181091,PG,"Procter & Gamble",,EOF24900642340,0.0176443000,171.120000,USD,1.26861034,,"GBP",2.38,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:06.122,US6935061076,PPG,"PPG Industries",,EOF24900642370,0.0282532000,123.030000,USD,1.26860992,,"GBP",2.74,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:06.855,US09290D1019,BLK,"BlackRock",,EOF24900642459,0.0021045400,1066.930000,USD,1.26858579,,"GBP",1.77,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:07.873,US6703461052,NUE,"Nucor",,EOF24900642593,0.0277078000,135.070000,USD,1.26864154,,"GBP",2.95,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:10.372,US4781601046,JNJ,"Johnson & Johnson",,EOF24900642828,0.0239145000,146.940000,USD,1.26859084,,"GBP",2.77,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:11.702,US4523081093,ITW,"Illinois Tool Works",,EOF24900643026,0.0087273000,273.280000,USD,1.26861518,,"GBP",1.88,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:16.137,US0530151036,ADP,"Automatic Data Processing",,EOF24900643331,0.0088132000,299.400000,USD,1.26859234,,"GBP",2.08,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:22.764,US7766961061,ROP,"Roper Technologies",,EOF24900643777,0.0046641000,549.490000,USD,1.26875064,,"GBP",2.02,"GBP",,,,,,,,
Market buy,2024-12-12 14:35:48.188,US3765361080,GOOD,"Gladstone Commercial",,EOF24900645860,0.1822280000,16.920000,USD,1.26884681,,"GBP",2.43,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:15.586,US0378331005,AAPL,"Apple",,EOF24952436138,0.0085682000,249.060000,USD,1.26271946,,"GBP",1.69,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:15.604,US1667641005,CVX,"Chevron",,EOF24952436144,0.0181219000,153.990000,USD,1.26271103,,"GBP",2.21,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:15.861,US3848021040,GWW,"WW Grainger",,EOF24952436163,0.0021682400,1153.050000,USD,1.26267127,,"GBP",1.98,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:15.976,CA7800871021,RY,"Royal Bank of Canada",,EOF24952436166,0.0208797000,124.580000,USD,1.26271506,,"GBP",2.06,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.04,US00123Q1040,AGNC,"AGNC Investment",,EOF24952436176,0.3216300000,9.540000,USD,1.26269555,,"GBP",2.43,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.187,CA1363851017,CNQ,"Canadian Natural Resources",,EOF24952436188,0.0961010000,31.140000,USD,1.26269415,,"GBP",2.37,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.301,CA0641491075,BNS,"Bank of Nova Scotia",,EOF24952436197,0.0319900000,55.260000,USD,1.26269100,,"GBP",1.40,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.354,AN8068571086,SLB,"Schlumberger",,EOF24952436213,0.0817830000,40.760000,USD,1.26267995,,"GBP",2.64,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.469,US3546131018,BEN,"Franklin Resources",,EOF24952436235,0.1193570000,22.110000,USD,1.26267142,,"GBP",2.09,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:16.751,US8552441094,SBUX,"Starbucks",,EOF24952436278,0.0226880000,97.950000,USD,1.26266454,,"GBP",1.76,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:17.056,CA0636711016,BMO,"Bank of Montreal",,EOF24952436293,0.0308400000,99.080000,USD,1.26265586,,"GBP",2.42,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:17.151,US9311421039,WMT,"Walmart",,EOF24952436304,0.0227400000,93.840000,USD,1.26267550,,"GBP",1.69,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:18.194,US85254J1025,STAG,"STAG Industrial",,EOF24952436439,0.0671110000,35.560000,USD,1.26268103,,"GBP",1.89,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:18.216,US6703461052,NUE,"Nucor",,EOF24952436451,0.0212695000,129.420000,USD,1.26270582,,"GBP",2.18,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:18.313,US46625H1005,JPM,"JPMorgan Chase & Co",,EOF24952436479,0.0099337000,241.510000,USD,1.26267783,,"GBP",1.90,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:19.051,US5486611073,LOW,"Lowe's",,EOF24952436558,0.0131811000,264.400000,USD,1.26271117,,"GBP",2.76,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:19.188,US0394831020,ADM,"Archer-Daniels-Midland",,EOF24952436583,0.0469540000,52.440000,USD,1.26270141,,"GBP",1.95,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:22.595,US0530151036,ADP,"Automatic Data Processing",,EOF24952436983,0.0065839000,297.270000,USD,1.26270706,,"GBP",1.55,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:22.639,IE00BLS09M33,PNR,"Pentair",,EOF24952436992,0.0161477000,107.910000,USD,1.26267993,,"GBP",1.38,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:24.529,US8718291078,SYY,"Sysco",,EOF24952437201,0.0274800000,79.950000,USD,1.26265862,,"GBP",1.74,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:25.222,US0010551028,AFL,"Aflac",,EOF24952437361,0.0198437000,104.990000,USD,1.26266064,,"GBP",1.65,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:27.061,US0084921008,ADC,"Agree Realty",,EOF24952437588,0.0345650000,73.790000,USD,1.26264918,,"GBP",2.02,"GBP",,,,,,,,
Market buy,2024-12-13 14:37:30.724,CH0044328745,CB,"Chubb",,EOF24952438111,0.0068176000,275.960000,USD,1.26267442,,"GBP",1.49,"GBP",,,,,,,,
Market buy,2024-12-13 14:38:27.255,US8243481061,SHW,"Sherwin-Williams",,EOF24952439778,0.0076471000,366.570000,USD,1.26270155,,"GBP",2.22,"GBP",,,,,,,,
Market buy,2024-12-13 14:39:01.99,US74144T1088,TROW,"T Rowe Price",,EOF24952440405,0.0248313000,119.510000,USD,1.26280368,,"GBP",2.35,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.314,US7134481081,PEP,"PepsiCo",,EOF25105113693,0.0136687000,158.010000,USD,1.26303584,,"GBP",1.71,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.37,US7561091049,O,"Realty Income",,EOF25105113696,0.0381630000,55.270000,USD,1.26303533,,"GBP",1.67,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.39,US5949181045,MSFT,"Microsoft",,EOF25105113699,0.0061320000,446.960000,USD,1.26302245,,"GBP",2.17,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.41,US6935061076,PPG,"PPG Industries",,EOF25105113708,0.0154679000,123.300000,USD,1.26304110,,"GBP",1.51,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.464,US1912161007,KO,"Coca-Cola",,EOF25105113720,0.0293680000,63.650000,USD,1.26302243,,"GBP",1.48,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.508,US57636Q1040,MA,"Mastercard",,EOF25105113729,0.0052985000,533.960000,USD,1.26302993,,"GBP",2.24,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.858,US17275R1023,CSCO,"Cisco Systems",,EOF25105113749,0.0391650000,58.370000,USD,1.26301715,,"GBP",1.81,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:41.917,AN8068571086,SLB,"Schlumberger",,EOF25105113752,0.0676070000,40.540000,USD,1.26303584,,"GBP",2.17,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:42.299,CA8911605092,TD,"Toronto-Dominion Bank",,EOF25105113769,0.0518330000,53.120000,USD,1.26301328,,"GBP",2.18,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:42.921,US4592001014,IBM,"IBM",,EOF25105113916,0.0155880000,229.310000,USD,1.26306865,,"GBP",2.83,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:43.475,US0394831020,ADM,"Archer-Daniels-Midland",,EOF25105114032,0.0380460000,52.120000,USD,1.26303026,,"GBP",1.57,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:44.317,US4781601046,JNJ,"Johnson & Johnson",,EOF25105114151,0.0160274000,146.580000,USD,1.26306252,,"GBP",1.86,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:44.713,US2910111044,EMR,"Emerson Electric",,EOF25105114193,0.0231959000,129.600000,USD,1.26310447,,"GBP",2.38,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:44.859,US02209S1033,MO,"Altria",,EOF25105114219,0.0339820000,55.010000,USD,1.26307420,,"GBP",1.48,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:46.826,US3695501086,GD,"General Dynamics",,EOF25105114402,0.0080456000,265.310000,USD,1.26306398,,"GBP",1.69,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:48.721,US4943681035,KMB,"Kimberly-Clark",,EOF25105114554,0.0134053000,132.850000,USD,1.26304546,,"GBP",1.41,"GBP",,,,,,,,
Market buy,2024-12-16 14:37:49.149,US14149Y1082,CAH,"Cardinal Health",,EOF25105114590,0.0174253000,118.150000,USD,1.26306699,,"GBP",1.63,"GBP",,,,,,,,
